id,name,type,desc,atk,def,level,race,attribute,scale,archetype,linkval,linkmarkers,image_url,image_url_small,ban_ocg,staple,views,upvotes,downvotes,ocg_date,has_effect
34541863,"""A"" Cell Breeding Device",Spell Card,"During each of your Standby Phases, put 1 A-Counter on 1 face-up monster your opponent controls.",,,,Continuous,,,Alien,,,https://images.ygoprodeck.com/images/cards/34541863.jpg,https://images.ygoprodeck.com/images/cards_small/34541863.jpg,,,300590,118,110,2007-02-15,1
64163367,"""A"" Cell Incubator",Spell Card,"Each time an A-Counter(s) is removed from play by a card effect, place 1 A-Counter on this card. When this card is destroyed, distribute the A-Counters on this card among face-up monsters.",,,,Continuous,,,Alien,,,https://images.ygoprodeck.com/images/cards/64163367.jpg,https://images.ygoprodeck.com/images/cards_small/64163367.jpg,,,212234,25,20,2007-07-21,1
91231901,"""A"" Cell Recombination Device",Spell Card,"Target 1 face-up monster on the field; send 1 ""Alien"" monster from your Deck to the Graveyard, and if you do, place A-Counters on that monster equal to the Level of the sent monster. During your Main Phase, except the turn this card was sent to the Graveyard: You can banish this card from your Graveyard; add 1 ""Alien"" monster from your Deck to your hand.",,,,Quick-Play,,,Alien,,,https://images.ygoprodeck.com/images/cards/91231901.jpg,https://images.ygoprodeck.com/images/cards_small/91231901.jpg,,,221212,19,15,2016-07-09,1
73262676,"""A"" Cell Scatter Burst",Spell Card,"Select 1 face-up ""Alien"" monster you control. Destroy it and distribute new A-Counters equal to its Level among your opponent's face-up monsters.",,,,Quick-Play,,,Alien,,,https://images.ygoprodeck.com/images/cards/73262676.jpg,https://images.ygoprodeck.com/images/cards_small/73262676.jpg,,,168545,12,4,2006-11-16,1
98319530,"""Infernoble Arms - Almace""",Spell Card,"While this card is equipped to a monster: You can equip 1 ""Infernoble Arms"" Equip Spell from your Deck or GY, except """"Infernoble Arms - Almace"""", to 1 appropriate monster you control, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 of your FIRE Warrior monsters that is banished or in your GY; add it to your hand. You can only use 1 """"Infernoble Arms - Almace"""" effect per turn, and only once that turn.",,,,Equip,,,Infernoble Arms,,,https://images.ygoprodeck.com/images/cards/98319530.jpg,https://images.ygoprodeck.com/images/cards_small/98319530.jpg,,,52664,0,0,2023-04-22,1
37478723,"""Infernoble Arms - Durendal""",Spell Card,"While this card is equipped to a monster: You can add 1 Level 5 or lower FIRE Warrior monster from your Deck to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 Level 5 or lower FIRE Warrior monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of the turn, except Warrior monsters. You can only use 1 """"Infernoble Arms - Durendal"""" effect per turn, and only once that turn.",,,,Equip,,,Noble Knight,,,https://images.ygoprodeck.com/images/cards/37478723.jpg,https://images.ygoprodeck.com/images/cards_small/37478723.jpg,,,463408,10,12,2020-04-18,1
64867422,"""Infernoble Arms - Hauteclere""",Spell Card,"While this card is equipped to a monster: You can target 1 face-up monster you control; this turn, you cannot declare attacks, except with that monster, also it gains the ability this turn to make a second attack during each Battle Phase, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 face-up monster on the field; destroy it. You can only use 1 """"Infernoble Arms - Hauteclere"""" effect per turn, and only once that turn.",,,,Equip,,,Noble Knight,,,https://images.ygoprodeck.com/images/cards/64867422.jpg,https://images.ygoprodeck.com/images/cards_small/64867422.jpg,,,78530,3,4,2020-04-18,1
90861137,"""Infernoble Arms - Joyeuse""",Spell Card,"While this card is equipped to a monster: You can target 1 FIRE Warrior monster in your GY; add it to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can Special Summon 1 FIRE Warrior monster from your hand. You can only use 1 """"Infernoble Arms - Joyeuse"""" effect per turn, and only once that turn.",,,,Equip,,,Noble Knight,,,https://images.ygoprodeck.com/images/cards/90861137.jpg,https://images.ygoprodeck.com/images/cards_small/90861137.jpg,,,110962,3,5,2020-04-18,1
44256816,1st Movement Solo,Spell Card,"If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card, except ""Melodious"" monsters.",,,,Normal,,,Melodious,,,https://images.ygoprodeck.com/images/cards/44256816.jpg,https://images.ygoprodeck.com/images/cards_small/44256816.jpg,,,286248,14,5,2014-07-19,1
86988864,3-Hump Lacooda,Effect Monster,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards.",500.0,1500.0,3.0,Beast,EARTH,,,,,https://images.ygoprodeck.com/images/cards/86988864.jpg,https://images.ygoprodeck.com/images/cards_small/86988864.jpg,,,184895,23,10,2004-02-26,1
